GameID,posteam,InterceptionThrown,Fumble,Touchdown,FieldGoalResult,Penalty.Yards,Yards.Gained,ReturnResult,Sack,PosTeamScore,DefTeamScore,win
2009091000,PIT,2,2,1,2,35,476,0,4,10.0,10.0,0
2009091000,TEN,1,1,1,1,53,425,0,1,10.0,10.0,0
2009091300,ATL,0,0,2,2,32,312,0,2,19.0,7.0,1
2009091300,MIA,1,3,1,0,30,413,0,4,6.0,19.0,0
2009091301,BAL,1,1,6,1,34,600,1,1,37.0,23.0,1
2009091301,KC,0,2,2,1,46,326,0,3,23.0,38.0,0
2009091302,CAR,5,2,3,1,46,430,2,5,10.0,36.0,0
2009091302,PHI,1,3,3,1,60,349,0,2,36.0,10.0,1
2009091303,CIN,2,1,1,0,26,421,0,3,7.0,12.0,0
2009091303,DEN,0,0,1,2,40,376,0,3,12.0,7.0,1
2009091304,CLE,1,3,1,2,83,508,0,5,18.0,34.0,0
2009091304,MIN,0,0,5,2,21,476,1,4,34.0,19.0,1
2009091305,HOU,1,1,0,0,32,351,0,2,6.0,24.0,0
2009091305,NYJ,1,3,4,1,85,480,1,0,24.0,6.0,1
2009091306,IND,1,1,2,0,25,450,0,1,14.0,12.0,1
2009091306,JAC,0,0,1,2,16,287,0,1,12.0,14.0,0
2009091307,DET,3,1,2,2,41,513,0,1,26.0,45.0,0
2009091307,NO,1,1,7,1,75,724,1,0,45.0,26.0,1
2009091308,DAL,0,0,4,2,25,575,0,1,34.0,21.0,1
2009091308,TB,1,1,4,0,31,586,0,0,20.0,34.0,0
2009091309,ARI,2,1,1,3,89,421,0,3,16.0,20.0,0
2009091309,SF,0,1,2,2,29,289,0,4,20.0,16.0,1
2009091310,NYG,1,2,1,3,52,392,0,2,16.0,17.0,0
2009091310,WAS,1,4,3,1,10,396,1,3,16.0,16.0,0
2009091311,SEA,2,1,4,0,20,541,0,0,28.0,0.0,1
2009091311,STL,0,2,0,0,90,333,0,3,0.0,28.0,0
2009091312,CHI,4,0,1,2,20,502,0,2,15.0,21.0,0
2009091312,GB,0,0,2,2,50,396,0,4,21.0,15.0,1
2009091400,BUF,0,3,2,1,76,446,0,4,23.0,25.0,0
2009091400,NE,1,0,4,2,50,598,1,1,25.0,23.0,1
2009091401,OAK,2,1,3,2,50,474,0,1,20.0,24.0,0
2009091401,SD,1,1,3,1,50,524,0,3,24.0,20.0,1
2009092000,ATL,1,1,4,0,45,509,0,0,28.0,20.0,1
2009092000,CAR,1,2,2,2,30,471,0,1,20.0,28.0,0
2009092001,DET,2,2,1,2,63,440,0,2,10.0,27.0,0
2009092001,MIN,0,2,3,2,25,350,0,3,27.0,13.0,1
2009092002,CIN,2,2,5,1,111,405,1,2,31.0,23.0,1
2009092002,GB,0,2,2,1,65,542,0,6,23.0,31.0,0
2009092003,ARI,0,3,3,1,45,472,0,0,24.0,23.0,1
2009092003,JAC,1,4,3,1,63,542,0,4,23.0,24.0,0
2009092004,KC,2,0,1,1,75,440,0,2,10.0,13.0,0
2009092004,OAK,0,0,1,2,40,275,0,2,13.0,10.0,1
2009092005,NE,1,0,0,3,120,471,0,0,9.0,16.0,0
2009092005,NYJ,0,2,2,3,24,413,0,2,16.0,9.0,1
2009092006,NO,1,3,5,2,27,519,0,2,41.0,20.0,1
2009092006,PHI,3,1,3,2,31,646,1,2,22.0,47.0,0
2009092007,HOU,0,3,4,2,59,503,0,1,34.0,31.0,1
2009092007,TEN,1,1,4,1,45,594,0,1,31.0,34.0,0
2009092008,STL,0,3,1,0,65,332,0,1,7.0,9.0,0
2009092008,WAS,0,2,0,3,15,419,0,1,9.0,7.0,1
2009092009,BUF,1,1,2,4,67,522,0,2,29.0,20.0,1
2009092009,TB,2,1,4,0,100,515,1,3,20.0,32.0,0
2009092010,SEA,1,2,1,1,58,505,0,1,10.0,23.0,0
2009092010,SF,0,2,2,3,41,466,0,4,23.0,10.0,1
2009092011,CHI,0,1,2,1,87,391,0,1,17.0,14.0,1
2009092011,PIT,1,1,2,0,45,382,0,2,14.0,17.0,0
2009092012,CLE,1,2,0,2,30,270,0,4,6.0,27.0,0
2009092012,DEN,0,1,3,2,63,519,0,0,27.0,6.0,1
2009092013,BAL,1,2,4,1,46,463,0,1,31.0,26.0,1
2009092013,SD,2,1,2,4,71,624,0,2,26.0,31.0,0
2009092014,DAL,3,1,5,1,36,599,1,0,30.0,29.0,1
2009092014,NYG,0,0,2,4,54,538,0,0,29.0,31.0,0
2009092100,IND,1,0,3,2,20,472,0,1,26.0,23.0,1
2009092100,MIA,1,1,2,3,20,508,0,2,23.0,27.0,0
2009092700,BAL,0,1,4,3,72,569,0,1,34.0,3.0,1
2009092700,CLE,4,0,0,1,58,408,0,2,3.0,34.0,0
2009092701,CIN,0,0,2,1,52,395,0,2,21.0,20.0,1
2009092701,PIT,1,0,3,2,29,507,1,1,20.0,23.0,0
2009092702,DET,0,1,2,2,98,392,0,2,19.0,14.0,1
2009092702,WAS,1,2,2,0,57,504,0,2,14.0,19.0,0
2009092703,HOU,1,1,3,1,30,550,0,2,24.0,31.0,0
2009092703,JAC,0,1,5,1,70,503,0,0,31.0,24.0,1
2009092704,MIN,1,0,4,2,64,573,1,2,32.0,17.0,1
2009092704,SF,1,1,2,1,48,396,0,1,17.0,33.0,0
2009092705,ATL,0,3,2,1,25,414,0,1,10.0,26.0,0
2009092705,NE,0,0,2,4,39,525,0,0,26.0,10.0,1
2009092706,KC,0,2,2,0,80,338,0,3,13.0,34.0,0
2009092706,PHI,0,2,4,2,30,505,0,1,34.0,14.0,1
2009092707,GB,0,0,4,3,40,489,0,2,36.0,17.0,1
2009092707,STL,1,2,2,1,51,572,0,1,17.0,36.0,0
2009092708,NYG,0,0,3,1,40,459,0,0,24.0,0.0,1
2009092708,TB,1,0,0,0,45,199,0,0,0.0,24.0,0
2009092709,BUF,1,0,1,0,120,396,0,4,7.0,27.0,0
2009092709,NO,0,2,3,2,93,405,0,2,27.0,7.0,1
2009092710,CHI,1,4,3,1,70,473,0,2,25.0,19.0,1
